case,dx,ldcum,ktype,kcbot,kctop,kctop0,kdpl,wup,wbase
1,1500.0,1,2,47,3,46,49,41A6B64C,3EF456FF
2,1500.0,1,1,46,3,2,48,41DF0BFB,3F9F5B25
3,1500.0,1,1,46,3,2,48,41DFAEC0,3F9F5B25
4,1500.0,1,1,47,3,2,48,41E893E0,3FA0A71E
5,1500.0,1,1,46,3,2,48,41E07D35,3F7A2C91
6,1500.0,1,1,46,3,3,48,41D92D6A,3F9F5B25
7,1500.0,1,1,46,3,2,48,41E150E6,3F9FE122
8,1500.0,0,3,34,-1,14,48,00000000,00000000
9,1500.0,0,3,38,-1,14,48,00000000,00000000
10,1500.0,0,3,35,-1,14,48,00000000,00000000
11,1500.0,1,2,47,37,46,49,3FE846C2,3EF456FF
12,1500.0,0,3,21,-1,14,48,00000000,00000000
13,1500.0,0,3,22,-1,14,48,00000000,00000000
14,1500.0,0,3,22,-1,14,48,00000000,00000000
15,1500.0,0,0,-1,-1,14,48,00000000,00000000
16,1500.0,0,3,18,-1,14,48,00000000,00000000
17,1500.0,1,3,41,41,14,48,3F800000,00000000
18,1500.0,1,3,35,35,14,48,3F800000,00000000
1,4500.0,1,2,47,3,46,49,41A6B64C,3EF456FF
2,4500.0,1,1,46,3,2,48,41DF0BFB,3F9F5B25
3,4500.0,1,1,46,3,2,48,41DFAEC0,3F9F5B25
4,4500.0,1,1,47,3,2,48,41E893E0,3FA0A71E
5,4500.0,1,1,46,3,2,48,41E07D35,3F7A2C91
6,4500.0,1,1,46,3,3,48,41D92D6A,3F9F5B25
7,4500.0,1,1,46,3,2,48,41E150E6,3F9FE122
8,4500.0,0,3,34,-1,14,48,00000000,00000000
9,4500.0,0,3,38,-1,14,48,00000000,00000000
10,4500.0,0,3,35,-1,14,48,00000000,00000000
11,4500.0,1,2,47,37,46,49,3FE846C2,3EF456FF
12,4500.0,0,3,21,-1,14,48,00000000,00000000
13,4500.0,0,3,22,-1,14,48,00000000,00000000
14,4500.0,0,3,22,-1,14,48,00000000,00000000
15,4500.0,0,0,-1,-1,14,48,00000000,00000000
16,4500.0,0,3,18,-1,14,48,00000000,00000000
17,4500.0,1,3,41,41,14,48,3F800000,00000000
18,4500.0,1,3,35,35,14,48,3F800000,00000000
1,9000.0,1,2,47,3,46,49,41A6B64C,3EF456FF
2,9000.0,1,1,46,3,2,48,41DF0BFB,3F9F5B25
3,9000.0,1,1,46,3,2,48,41DFAEC0,3F9F5B25
4,9000.0,1,1,47,3,2,48,41E893E0,3FA0A71E
5,9000.0,1,1,46,3,2,48,41E07D35,3F7A2C91
6,9000.0,1,1,46,3,3,48,41D92D6A,3F9F5B25
7,9000.0,1,1,46,3,2,48,41E150E6,3F9FE122
8,9000.0,0,3,34,-1,14,48,00000000,00000000
9,9000.0,0,3,38,-1,14,48,00000000,00000000
10,9000.0,0,3,35,-1,14,48,00000000,00000000
11,9000.0,1,2,47,37,46,49,3FE846C2,3EF456FF
12,9000.0,0,3,21,-1,14,48,00000000,00000000
13,9000.0,0,3,22,-1,14,48,00000000,00000000
14,9000.0,0,3,22,-1,14,48,00000000,00000000
15,9000.0,0,0,-1,-1,14,48,00000000,00000000
16,9000.0,0,3,18,-1,14,48,00000000,00000000
17,9000.0,1,3,41,41,14,48,3F800000,00000000
18,9000.0,1,3,35,35,14,48,3F800000,00000000
1,13500.0,1,2,47,3,46,49,41A6B64C,3EF456FF
2,13500.0,1,1,46,3,2,48,41DF0BFB,3F9F5B25
3,13500.0,1,1,46,3,2,48,41DFAEC0,3F9F5B25
4,13500.0,1,1,47,3,2,48,41E893E0,3FA0A71E
5,13500.0,1,1,46,3,2,48,41E07D35,3F7A2C91
6,13500.0,1,1,46,3,3,48,41D92D6A,3F9F5B25
7,13500.0,1,1,46,3,2,48,41E150E6,3F9FE122
8,13500.0,0,3,34,-1,14,48,00000000,00000000
9,13500.0,0,3,38,-1,14,48,00000000,00000000
10,13500.0,0,3,35,-1,14,48,00000000,00000000
11,13500.0,1,2,47,37,46,49,3FE846C2,3EF456FF
12,13500.0,0,3,21,-1,14,48,00000000,00000000
13,13500.0,0,3,22,-1,14,48,00000000,00000000
14,13500.0,0,3,22,-1,14,48,00000000,00000000
15,13500.0,0,0,-1,-1,14,48,00000000,00000000
16,13500.0,0,3,18,-1,14,48,00000000,00000000
17,13500.0,1,3,41,41,14,48,3F800000,00000000
18,13500.0,1,3,35,35,14,48,3F800000,00000000
1,15000.0,1,2,47,3,46,49,41A6B64C,3EF456FF
2,15000.0,1,1,46,3,2,48,41DF0BFB,3F9F5B25
3,15000.0,1,1,46,3,2,48,41DFAEC0,3F9F5B25
4,15000.0,1,1,47,3,2,48,41E893E0,3FA0A71E
5,15000.0,1,1,46,3,2,48,41E07D35,3F7A2C91
6,15000.0,1,1,46,3,3,48,41D92D6A,3F9F5B25
7,15000.0,1,1,46,3,2,48,41E150E6,3F9FE122
8,15000.0,0,3,34,-1,14,48,00000000,00000000
9,15000.0,0,3,38,-1,14,48,00000000,00000000
10,15000.0,0,3,35,-1,14,48,00000000,00000000
11,15000.0,1,2,47,37,46,49,3FE846C2,3EF456FF
12,15000.0,0,3,21,-1,14,48,00000000,00000000
13,15000.0,0,3,22,-1,14,48,00000000,00000000
14,15000.0,0,3,22,-1,14,48,00000000,00000000
15,15000.0,0,0,-1,-1,14,48,00000000,00000000
16,15000.0,0,3,18,-1,14,48,00000000,00000000
17,15000.0,1,3,41,41,14,48,3F800000,00000000
18,15000.0,1,3,35,35,14,48,3F800000,00000000
1,27000.0,1,2,47,3,46,49,41A6B64C,3EF456FF
2,27000.0,1,1,46,3,2,48,41DF0BFB,3F9F5B25
3,27000.0,1,1,46,3,2,48,41DFAEC0,3F9F5B25
4,27000.0,1,1,47,3,2,48,41E893E0,3FA0A71E
5,27000.0,1,1,46,3,2,48,41E07D35,3F7A2C91
6,27000.0,1,1,46,3,3,48,41D92D6A,3F9F5B25
7,27000.0,1,1,46,3,2,48,41E150E6,3F9FE122
8,27000.0,0,3,34,-1,14,48,00000000,00000000
9,27000.0,0,3,38,-1,14,48,00000000,00000000
10,27000.0,0,3,35,-1,14,48,00000000,00000000
11,27000.0,1,2,47,37,46,49,3FE846C2,3EF456FF
12,27000.0,0,3,21,-1,14,48,00000000,00000000
13,27000.0,0,3,22,-1,14,48,00000000,00000000
14,27000.0,0,3,22,-1,14,48,00000000,00000000
15,27000.0,0,0,-1,-1,14,48,00000000,00000000
16,27000.0,0,3,18,-1,14,48,00000000,00000000
17,27000.0,1,3,41,41,14,48,3F800000,00000000
18,27000.0,1,3,35,35,14,48,3F800000,00000000
