phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.7055612182617188E+002, 2.6814999389648438E+002, 2.5862732436507940E-003, 1.8846390594262630E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0686658060876653E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7355687618255615E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.7543331909179688E+002, 2.6814999389648438E+002, 2.7538118883967400E-003, 2.8489754186011851E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7376300820615143E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5631772279739380E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8039843750000000E+002, 2.6814999389648438E+002, 2.9322549235075712E-003, 2.8489754186011851E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9965307728853077E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8545306396484375E+002, 2.6814999389648438E+002, 3.1223183032125235E-003, 1.8846390594262630E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6210558533202857E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2274981737136841E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9059881591796875E+002, 2.6814999389648438E+002, 3.3247668761759996E-003, 8.2472120993770659E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.3008631665725261E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0641027688980103E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9583734130859375E+002, 2.6814999389648438E+002, 3.5404167138040066E-003, 2.3874017642810941E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.7709600292146206E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9036011695861816E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0117025756835938E+002, 2.6814999389648438E+002, 3.7701379042118788E-003, 4.5717606553807855E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0803978511830792E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7459421157836914E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0659933471679688E+002, 2.6814999389648438E+002, 4.0148608386516571E-003, 5.7913626960726106E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1873534024052788E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5910743474960327E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1212625122070312E+002, 2.6814999389648438E+002, 4.2755771428346634E-003, 4.8530825580428427E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1293734537030105E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4389489889144897E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1775283813476562E+002, 2.6814999389648438E+002, 4.5533464290201664E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
