phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9110674858093262E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.7559997558593750E+002, 2.7314898681640625E+002, 3.9350092411041260E-003, 0.0000000000000000E+000, 1.8846390594262630E-004, 0.0000000000000000E+000, 1.0686658060876653E-004, 1.0686658060876653E-004, 0.0000000000000000E+000, 2.3761628906250000E+004, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7355687618255615E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8056808471679688E+002, 2.7314898681640625E+002, 4.1905050165951252E-003, 0.0000000000000000E+000, 2.8489754186011851E-004, 0.0000000000000000E+000, 1.7376300820615143E-004, 1.7376300820615143E-004, 0.0000000000000000E+000, 3.5920035156250000E+004, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5631772279739380E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8562576293945312E+002, 2.7314898681640625E+002, 4.4627087190747261E-003, 0.0000000000000000E+000, 2.8489754186011851E-004, 0.0000000000000000E+000, 1.9965307728853077E-004, 1.9965307728853077E-004, 0.0000000000000000E+000, 3.5920035156250000E+004, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3938380479812622E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9077462768554688E+002, 2.7314898681640625E+002, 4.7527281567454338E-003, 0.0000000000000000E+000, 1.8846390594262630E-004, 0.0000000000000000E+000, 1.6210558533202857E-004, 1.6210558533202857E-004, 0.0000000000000000E+000, 2.3761628906250000E+004, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2274981737136841E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9601629638671875E+002, 2.7314898681640625E+002, 5.0617470405995846E-003, 0.0000000000000000E+000, 8.2472120993770659E-005, 0.0000000000000000E+000, 9.3008631665725261E-005, 9.3008631665725261E-005, 0.0000000000000000E+000, 1.0398128906250000E+004, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0641027688980103E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0135247802734375E+002, 2.7314898681640625E+002, 5.3910315036773682E-003, 0.0000000000000000E+000, 2.3874017642810941E-005, 0.0000000000000000E+000, 3.7709600292146206E-005, 3.7709600292146206E-005, 0.0000000000000000E+000, 3.0100488281250000E+003, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9036011695861816E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0678485107421875E+002, 2.7314898681640625E+002, 5.7419328950345516E-003, 0.0000000000000000E+000, 4.5717606553807855E-006, 0.0000000000000000E+000, 1.0803978511830792E-005, 1.0803978511830792E-005, 0.0000000000000000E+000, 5.7640997314453125E+002, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7459421157836914E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1231512451171875E+002, 2.7314898681640625E+002, 6.1158970929682255E-003, 0.0000000000000000E+000, 5.7913626960726106E-007, 0.0000000000000000E+000, 2.1873534024052788E-006, 2.1873534024052788E-006, 0.0000000000000000E+000, 7.3017807006835938E+001, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5910743474960327E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1794509887695312E+002, 2.7314898681640625E+002, 6.5144696272909641E-003, 0.0000000000000000E+000, 4.8530825580428427E-008, 0.0000000000000000E+000, 3.1293734537030105E-007, 3.1293734537030105E-007, 0.0000000000000000E+000, 6.1187925338745117E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4389489889144897E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.2367654418945312E+002, 2.7314898681640625E+002, 6.9393035955727100E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
