phase,k,z_m,p_pa,pii,w_m_s,dz_m,theta_k,temp_k,qv,qc,qr,qi,qs,qg,ni_per_kg,nr_per_kg,nc_per_kg,nwfa_per_kg,nifa_per_kg,effc_m,effi_m,effs_m,refl_dbz
before,1, 2.5000000000000000E+002, 9.6923320312500000E+004, 9.9111115932464600E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.8755603027343750E+002, 2.8500000000000000E+002, 9.0430434793233871E-003, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.2815168000000000E+009, 2.5689100800000000E+008, 8.5630337500000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,2, 7.5000000000000000E+002, 9.1051039062500000E+004, 9.7356981039047241E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9273709106445312E+002, 2.8500000000000000E+002, 9.6353041008114815E-003, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.1238570213317871E-001, 2.7371571200000000E+008, 9.1238568750000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,3, 1.2500000000000000E+003, 8.5534531250000000E+004, 9.5633894205093384E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 2.9801150512695312E+002, 2.8500000000000000E+002, 1.0266984812915325E-002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.8610032640000000E+009, 2.9166019200000000E+008, 9.7220062500000000E+005, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,4, 1.7500000000000000E+003, 8.0352257812500000E+004, 9.3941307067871094E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0338092041015625E+002, 2.8500000000000000E+002, 1.0940795764327049E-002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0360051393508911E+000, 3.1080156800000000E+008, 1.0360051875000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,5, 2.2500000000000000E+003, 7.5483960937500000E+004, 9.2278671264648438E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.0884710693359375E+002, 2.8500000000000000E+002, 1.1659643612802029E-002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.5203712000000000E+009, 3.3122227200000000E+008, 1.1040742500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,6, 2.7500000000000000E+003, 7.0910617187500000E+004, 9.0645462274551392E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.1441177368164062E+002, 2.8500000000000000E+002, 1.2426650151610374E-002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1767036914825439E+000, 3.5301110400000000E+008, 1.1767036250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,7, 3.2500000000000000E+003, 6.6614359375000000E+004, 8.9041161537170410E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.2007669067382812E+002, 2.8500000000000000E+002, 1.3245166279375553E-002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.2710528000000000E+009, 3.7626316800000000E+008, 1.2542106250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,8, 3.7500000000000000E+003, 6.2578398437500000E+004, 8.7465250492095947E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.2584368896484375E+002, 2.8500000000000000E+002, 1.4118797145783901E-002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3369362354278564E+000, 4.0108089600000000E+008, 1.3369362500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,9, 4.2500000000000000E+003, 5.8786964843750000E+004, 8.5917234420776367E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.3171459960937500E+002, 2.8500000000000000E+002, 1.5051416121423244E-002, 3.0000001424923539E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.1262387200000000E+009, 4.2757433600000000E+008, 1.4252477500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,10, 4.7500000000000000E+003, 5.5225246093750000E+004, 8.4396618604660034E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.3769125366210938E+002, 2.8500000000000000E+002, 1.6047192737460136E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5195398330688477E+000, 4.5586195200000000E+008, 1.5195397500000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
before,11, 5.2500000000000000E+003, 5.1879316406250000E+004, 8.2902908325195312E-001, 1.0000000000000000E+000, 5.0000000000000000E+002, 3.4377563476562500E+002, 2.8500000000000000E+002, 1.7110617831349373E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1011886080000000E+009, 4.8607129600000000E+008, 1.6202376250000000E+006, 2.4900000425986946E-006, 4.9899999794433825E-006, 9.9899998531327583E-006,-3.5000000000000000E+001
